outid,count,opfare
1402064158,56,1041
1402064201,23,237
1402064202,29,437
1402064203,13,352
1402064204,44,1083
1402064205,52,1178
1402064206,59,471
1402064208,39,971
1402064209,48,443
1402064210,35,865
1402064211,38,1131
1402064212,17,201
1402064213,52,948
1402064214,38,410
1402064215,42,506
1402064216,55,979
1402064217,46,602
1402064219,28,683
1402064220,62,1443
1402064221,53,754
1402064222,38,744
1402064223,50,1001
1402064224,36,935
1402064225,33,569
1402064226,41,560
1402064227,54,825
1402064228,18,101
1402064229,30,473
1402064230,54,840
1402064231,37,488
1402064232,18,188
1402064233,36,481
1402064234,33,797
1402064235,28,307
1402064236,33,398
1402064237,44,569
1402064238,16,1008
1402064239,33,1086
1402064240,22,249
1402064241,29,493
1402064242,31,1258
1402064243,32,443
1402064245,24,380
1402064246,29,203
1402064247,28,286
1402064248,29,275
1402064249,67,1330
1402064250,52,1014
1402064251,61,1268
1402064252,35,461
1402064253,48,1075
1402064254,13,73
1402064255,31,997
1402064256,40,470
1402064257,51,986
1402064258,42,694
1402074101,28,682
1402074102,21,232
1402074103,22,251
1402074104,37,563
1402074105,12,135
1402074106,32,585
1402074107,37,652
1402074108,35,1008
1402074109,18,607
1402074110,31,569
1402074111,41,658
1402074112,43,724
1402074113,24,386
1402074114,26,462
1402074115,41,997
1402074116,43,516
1402074117,43,602
1402074118,41,545
1402074119,34,399
1402074120,50,667
1402074121,40,446
1402074122,45,567
1402074123,22,225
1402074124,42,818
1402074125,48,566
1402074126,40,746
1402074127,31,253
1402074128,52,742
1402074129,54,915
1402074130,39,431
1402074131,26,242
1402074132,34,642
1402074133,43,678
1402074134,31,807
1402074135,24,228
1402074136,45,634
1402074137,29,432
1402074138,53,1217
1402074139,40,449
1402074140,64,756
1402074141,37,1187
1402074142,20,214
1402074143,46,514
1402074144,42,490
1402084101,22,241
1402084102,22,394
1402084103,32,859
1402084104,16,432
1402084105,27,503
1402084106,28,433
1402084108,28,552
1402084109,24,458
1402084110,2,8
1402084112,41,413
1402084114,13,74
1402084116,43,586
1402084117,16,105
1402084120,30,383
1402084121,38,271
1402084122,23,639
1402084123,24,166
1402084124,9,37
1402084125,29,247
1402084127,17,123
1402084128,43,684
1402084130,50,763
1402084131,25,222
1402084132,5,24
1402084133,53,559
1402084134,44,484
1402084135,24,793
1402084136,27,224
1402084137,23,109
1402084139,25,154
1402084140,42,614
1402084141,24,181
1402084142,40,218
1402084143,46,571
1402084146,6,28
1402084147,25,325
1402084148,5,26
1402084149,16,79
1402084150,44,556
1402084151,16,80
1402084152,23,323
1402084153,55,629
1402084201,37,792
1402084202,23,491
1402084203,36,395
1402084204,22,256
1402084205,30,791
1402084206,39,997
1402084207,30,810
1402084208,29,578
1402084209,42,819
1402084210,34,372
1402084211,35,671
1402084212,50,1143
1402084213,46,936
1402084214,46,680
1402084215,37,567
1402084216,3,11
1402084217,33,821
1402084218,24,181
1402084219,32,377
1402084220,45,754
1402084221,51,818
1402084222,6,30
1402084223,40,667
1402084224,53,1265
1402084225,45,636
1402084226,28,378
1402084227,48,911
1402084228,38,347
1402084231,41,373
1402084234,47,734
1402084235,24,407
1402084236,5,22
1402084237,30,486
1402084239,64,989
1402084240,39,594
1402084241,63,1107
1402084242,21,137
1402084243,15,82
1402084244,39,505
1402084245,60,1271
1402084247,36,989
1402084248,64,747
1402084250,28,471
1402084251,42,916
1402084252,54,712
1402084253,27,177
1402094101,26,458
1402094102,24,424
1402094103,22,496
1402094104,22,443
1402094105,20,309
1402094106,43,535
1402094107,29,634
1402094108,28,431
1402094109,31,578
1402094110,31,447
1402094111,19,439
1402094112,34,706
1402094113,28,466
1402094114,17,267
1402094115,17,241
1402094116,24,421
1402094117,26,328
1402094118,24,771
1402094119,32,482
1402094120,34,655
1402094121,28,422
1402094122,40,485
1402094123,24,693
1402094124,20,216
1402094125,25,476
1402094126,13,81
1402094127,26,641
1402094128,28,374
1402094129,10,222
1402094130,44,599
1402094132,33,343
1402094133,25,226
1402094134,24,203
1402094135,26,119
1402094136,41,473
1402094137,21,183
1402094138,57,977
1402094140,51,619
1402094141,31,207
1402094142,31,189
1402094143,14,86
1402094144,52,956
1402094145,57,1079
1402094146,18,108
1402094147,37,402
1402094148,48,690
1402094149,6,18
1402094150,21,123
1402094152,45,569
1402094153,40,415
1402094154,75,1104
1402094155,25,240
1402094201,18,151
1402094202,21,418
1402094203,22,424
1402094204,27,332
1402094205,36,579
1402094206,36,537
1402094207,32,421
1402094208,25,292
1402094209,33,601
1402094210,28,416
1402094211,35,338
